Scientific_name                                              ;Czech_name                                   ;abbreviation ;fruit ;forage ;forest ;ornamental ;approval ;endengeredG ;endengeredU ;endengeredY ;height    ;habitus             ;growthspeed     ;coppice       ;Subsidy_anex2 ;Subsidy_anex1 ;No_subsidy ;Earliness of leaf emergence III-V (flowering date) ;climateclass ;altitude     ;soil_fertility_acidic ;soil_fertility_normal ;soil_fertility_rich ;soil_fertility_nitrogen ;soil_fertility_calcium ;soil_fertility_peat ;soil_water_waterlogged ;soil_water_normal ;soil_water_arid ;light_demanding ;light_normal ;light_undemanding ;wood                                                                                            ;food                                                                                                                           ;Usage                                                                                                                                                                                                                                                                                                              ;floweringdate ;earlinessleafing
Alnus incana (L.) Moench                                     ;olše šedá                                    ;OLŠ          ;FAUX  ;FAUX   ;VRAI   ;FAUX       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(15)-(25) ;small tree          ;medium          ;suitable      ;            0 ;            0 ;         1 ;NA                                                 ;(6)-(9)      ;(500)-(1000) ;                    2 ;                    3 ;                  2 ;                        ;                       ;                    ;                     3 ;                2 ;              0 ;              2 ;           3 ;                1 ;palivo                                                                                          ;zpevňování břehů                                                                                                               ;funkční keř, menší strom pro vlhká a podmáčená stanovišťě                                                                                                                                                                                                                                                          ;3             ;NA
Hippophaë  rhamnoides L.                                     ;rakytník řešetlákový                         ;RAR          ;VRAI  ;FAUX   ;FAUX   ;VRAI       ;VRAI     ;FAUX        ;FAUX        ;FAUX        ;(5)-(10)  ;shrub to small tree ;medium          ;suitable      ;            0 ;            0 ;         1 ;NA                                                 ;(0)-(7)      ;(150)-(1000) ;                    2 ;                    2 ;                  1 ;                        ;                       ;                    ;                     0 ;                2 ;              2 ;              3 ;           2 ;                0 ;                                                                                                ;léčivé plody-sirup, kompot, protlak, likér                                                                                     ;" Doplňkový ovocný keř; riziko invazního chování podle odrůd a stanovišť"                                                                                                                                                                                                                                          ;3,5           ;NA
Rosa dumalis Bechst.                                         ;růže podhorská                               ;RUP          ;VRAI  ;FAUX   ;FAUX   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(1)-(3)   ;shrub               ;medium          ;very suitable ;            0 ;            0 ;         1 ;NA                                                 ;(2)-(7)      ;(250)-(700)  ;                    0 ;                    3 ;                  2 ;                        ;                       ;                    ;                     0 ;                3 ;              2 ;              2 ;           3 ;                0 ;                                                                                                ;jedlé plody do čajů                                                                                                            ;Doplňková ovocná, funkční a estetická dřevina (keř) chladnějších oblastí. Vhodná pro ochrané živé ploty, opláštění (trnité)                                                                                                                                                                                        ;5,5           ;NA
Rosa canina L.                                               ;růže šípková                                 ;RUS          ;VRAI  ;FAUX   ;FAUX   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(2)-(5)   ;shrub               ;medium          ;very suitable ;            0 ;            0 ;         1 ;NA                                                 ;(2)-(6)      ;(150)-(800)  ;                    0 ;                    2 ;                  2 ;                        ;                       ;                    ;                     0 ;                3 ;              2 ;              2 ;           2 ;                0 ;                                                                                                ;léčivé plody-čaj, dekorativní druh                                                                                             ;Doplňková produkční, funkční a estetická dřevina (keř). Vhodná pro ochrané živé ploty, opláštění (trnité)                                                                                                                                                                                                          ;5             ;NA
Ribes uva-crispa L.                                          ;srstka angrešt, meruzalka srstka duplikace   ;SRA          ;VRAI  ;FAUX   ;FAUX   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(0)-(1)   ;shrub               ;slow            ;very suitable ;            0 ;            0 ;         1 ;NA                                                 ;(1)-(7)      ;(150)-(700)  ;                    1 ;                    3 ;                  2 ;                        ;                       ;                    ;                     1 ;                2 ;              0 ;              3 ;           2 ;                1 ;                                                                                                ;Tasty fruits                                                                                                                   ;Produkční ovocný keř na bohatá a slunná stanoviště                                                                                                                                                                                                                                                                 ;4             ;NA
Cornus sanguinea  L.                                         ;svída krvavá                                 ;SVK          ;FAUX  ;FAUX   ;FAUX   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(2)-(6)   ;shrub               ;fast            ;suitable      ;            0 ;            0 ;         1 ;NA                                                 ;(0)-(6)      ;(150)-(600)  ;                    0 ;                    3 ;                  2 ;                        ;                       ;                    ;                     2 ;                3 ;              2 ;              2 ;           3 ;                2 ;řezbářství, násady, hůlky                                                                       ;krmné plody                                                                                                                    ;funkční a estetická dřevina (malý stom, keř), množení i řízky                                                                                                                                                                                                                                                      ;5             ;NA
Prunus spinosa L.                                            ;trnka obecná                                 ;TRO          ;VRAI  ;FAUX   ;FAUX   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(2)-(4)   ;shrub to small tree ;slow            ;very suitable ;            0 ;            0 ;         1 ;NA                                                 ;(0)-(7)      ;(150)-(800)  ;                    0 ;                    2 ;                  2 ;                        ;2                      ;                    ;                     0 ;                2 ;              3 ;              2 ;           2 ;                0 ;řezbářství, násady, hůlky                                                                       ;jedlé plody po přemrznutí, džemy, nápoje                                                                                       ;významná funkční dřevina, resp. keř pro biodiverzitu polní zvěře, ptactva na široké škále stanovišť včetně vysýchavých                                                                                                                                                                                             ;4             ;NA
Salix ×rubra Huds.                                           ;vrba červená                                 ;VRC          ;FAUX  ;FAUX   ;FAUX   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(3)-(8)   ;shrub to small tree ;fast            ;very suitable ;            0 ;            0 ;         1 ;NA                                                 ;(0)-(6)      ;(150)-(700)  ;                    0 ;                    2 ;                  2 ;                        ;                       ;                    ;                     3 ;                2 ;              0 ;              3 ;           2 ;                0 ;košíkářství                                                                                     ;Used in beekeeping (honey production), zpevňování břehů                                                                                        ;"doplňková funkční a produkční dřevina  do podhorských oblastí; možno pěstovat výmladkově, výsadba z řízků i sazenic"                                                                                                                                                                                              ;3,5           ;NA
Salix caprea L.                                              ;vrba jíva                                    ;VRJ          ;FAUX  ;VRAI   ;VRAI   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(6)-(13)  ;shrub to tree       ;fast            ;very suitable ;            0 ;            0 ;         1 ;NA                                                 ;(1)-(9)      ;(150)-(1050) ;                    2 ;                    3 ;                  2 ;                        ;                       ;                    ;                     1 ;                3 ;              2 ;              3 ;           2 ;                0 ;produkce štěpky, poddýžky, zápalky                                                              ;Used in beekeeping (honey production), rekultivace včetně dekontaminace půd od těžkých kovů                                                    ;funkční a produkční dřevina pro širokou škálu stanovišť, šíří se spontánně semeny, výsadba sazenicemi, vyjímečně řízky (odrůdy)                                                                                                                                                                                    ;3,5           ;NA
Salix daphnoides Vill.                                       ;vrba lýkovcová                               ;VRL          ;FAUX  ;VRAI   ;VRAI   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(8)-(18)  ;shrub to small tree ;fast            ;very suitable ;            0 ;            0 ;         1 ;NA                                                 ;(2)-(5)      ;(150)-(700)  ;                    0 ;                    2 ;                  3 ;                        ;                       ;                    ;                     3 ;                2 ;              0 ;              3 ;           2 ;                0 ;Malé sortimenty, plotní plaňky,                                                                 ;Used in beekeeping (honey production), estetické (kočičky, kůra), zpevňování břehů                                                             ;"Doplňková produkční a estetická dřevina vlhčích stanovišt v teplejších oblastech; možno pěstovat i výmladkovým způsobem, výsadba z řízků"                                                                                                                                                                         ;3,5           ;NA
Salix purpurea L.                                            ;vrba nachová                                 ;VRN          ;FAUX  ;FAUX   ;FAUX   ;FAUX       ;FAUX     ;VRAI        ;VRAI        ;FAUX        ;(3)-(8)   ;shrub to small tree ;medium          ;very suitable ;            0 ;            0 ;         1 ;NA                                                 ;(1)-(8)      ;(150)-(1050) ;                    2 ;                    2 ;                  2 ;                        ;                       ;                    ;                     3 ;                2 ;              1 ;              3 ;           2 ;                0 ;košíkářství                                                                                     ;Used in beekeeping (honey production), zpevňování břehů                                                                                        ;"Doplňková funkční a produkční dřevina do (pod)horských oblastí; dobře snáší časté seřezávání (košíkářství)"                                                                                                                                                                                                       ;3,5           ;NA
Salix pentandra L.                                           ;vrba pětimužná                               ;VRP          ;FAUX  ;FAUX   ;FAUX   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(5)-(10)  ;shrub to small tree ;fast            ;very suitable ;            0 ;            0 ;         1 ;NA                                                 ;(3)-(8)      ;(200)-(900)  ;                    3 ;                    2 ;                  0 ;                        ;                       ;                    ;                     3 ;                2 ;              0 ;              3 ;           2 ;                0 ;                                                                                                ;Used in beekeeping (honey production)                                                                                                          ;ohrožená funkční dřevina (malý strom, keř) pro kyselá, podmáčená stanoviště, břehové ochranné porosty                                                                                                                                                                                                              ;5,5           ;NA
Salix cinerea L.                                             ;vrba popelavá                                ;VRP          ;FAUX  ;FAUX   ;FAUX   ;FAUX       ;FAUX     ;VRAI        ;VRAI        ;FAUX        ;(1)-(6)   ;shrub               ;medium          ;very suitable ;            0 ;            0 ;         1 ;NA                                                 ;(1)-(9)      ;(150)-(1000) ;                    2 ;                    2 ;                  0 ;                        ;                       ;                    ;                     3 ;                2 ;              0 ;              3 ;           2 ;                0 ;                                                                                                ;Used in beekeeping (honey production)                                                                                                          ;funkční dřevina pro vlhká a podmáčená stanovišťě, výsadba z řízků i sazenic                                                                                                                                                                                                                                        ;3,5           ;NA
Salix elaeagnos Scop.                                        ;vrba šedá                                    ;VRS          ;FAUX  ;FAUX   ;FAUX   ;FAUX       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(8)-(15)  ;shrub to small tree ;medium          ;very suitable ;            0 ;            0 ;         1 ;NA                                                 ;(2)-(5)      ;(150)-(700)  ;                    1 ;                    2 ;                  2 ;                        ;                       ;                    ;                     3 ;                2 ;              0 ;              3 ;           2 ;                0 ;                                                                                                ;Used in beekeeping (honey production), zpevňování břehů                                                                                        ;funkční případně estetická keřovitá dřevina pro vlhká a chladnější stanovišťě, snáší seřezávání, výsadba z řízků                                                                                                                                                                                                   ;4,5           ;NA
Salix triandra L.                                            ;vrba trojmužná                               ;VRT          ;FAUX  ;VRAI   ;FAUX   ;VRAI       ;FAUX     ;VRAI        ;VRAI        ;FAUX        ;(3)-(6)   ;shrub               ;medium          ;very suitable ;            0 ;            0 ;         1 ;NA                                                 ;(0)-(6)      ;(150)-(500)  ;                    0 ;                    2 ;                  3 ;                        ;                       ;                    ;                     3 ;                2 ;              0 ;              3 ;           2 ;                0 ;košíkářství                                                                                     ;Used in beekeeping (honey production), vhodná okusová dřevina spárkaté zvěře, dobytka                                                          ;"Doplňková funkční příp.produkční dřevina na vlhčí stanoviště teplejších oblastí; dobře snáší časté seřezávání (košíkářství)"                                                                                                                                                                                      ;3,5           ;NA
Lonicera  caeruleasubsp. kamtschatica (Sevast.) Gladkova     ;zimolez kamčatský                            ;ZIK          ;VRAI  ;FAUX   ;FAUX   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(1)-(3)   ;shrub               ;slow            ;very suitable ;            0 ;            0 ;         1 ;NA                                                 ;(3)-(9)      ;(150)-(1000) ;                    3 ;                    2 ;                  1 ;                        ;                       ;                    ;                     1 ;                2 ;              0 ;              3 ;           2 ;                0 ;                                                                                                ;plody-léčivé                                                                                                                   ;Produkční ovocný keř na bohatá a slunná stanoviště                                                                                                                                                                                                                                                                 ;5             ;NA
