numberinit	nameCommon	genus	species	family	climate	humidity	form	height	lifespan	utilities	classsyntropic_strata	classsyntropic_lifecycle	precipitation_min	precipitation_max	temperature_min	temperature_max	price	nutrients	precipitation	temperature
432	Water berry	syzygium	guineense	myrtaceae			tree	15	null		emergent	placenta	null	null	null	null	null		NA	NA
133	Pink poui	tabebuia	rosea	bignoniaceae			tree	25	50	timber	high	secondary	1250	2500	-1	16			(1250)-(2500)	(-1)-(16)
434	Tabernaemontana stapfiana	tabernaemontana	stapfiana	apocynaceae			tree	35	null	gum	emergent	placenta	null	null	null	null	null		NA	NA
88	Tamarind	tamarindus	indica	fabaceae			tree	20					600	3000	-1	16			(600)-(3000)	(-1)-(16)
129	Teak	tectona	grandis	lamiaceae			tree	35	90	timber	high	climax	700	3500	-1	16			(700)-(3500)	(-1)-(16)
132	Black Afara	terminalia	ivorensis	combretaceae			tree	30	70	timber	high	secondary	1250	3000	-1	16			(1250)-(3000)	(-1)-(16)
399	Limba (Terminalia superba)	terminalia	superba	combretaceae			tree	null	null	timber	emergent	placenta	null	null	null	null	null		NA	NA
7	Cacao	theobroma	cacao	malvaceae	tropic	humid	tree	6	80	food	low	secondary	800	4300	-1	16			(800)-(4300)	(-1)-(16)
245	Thyme	thymus	vulgaris	lamiaceae			herb	0.2	6	spice; medicinal	emergent	placenta	400	1000	-30	10	null		(400)-(1000)	(-30)-(10)
344	Small Leaved Lime	tilia	cordata	malvaceae			tree	30	null	timber; food; fiber	emergent	placenta	550	1300	-40	-12	null		(550)-(1300)	(-40)-(-12)
359	Silver Lime	tilia	tomentosa	malvaceae			tree	30	500	food	emergent	placenta	null	null	-35	-12	null		NA	(-35)-(-12)
138	Mexican Sunflower	tithonia	diversifolia	asteraceae			herb	3	2	biomass; fodder	emergent	placenta	750	2500	-1	16			(750)-(2500)	(-1)-(16)
139	Red Sunflower	tithonia	rotundifolia	asteraceae			herb	3	null	biomass; fodder	emergent	placenta	null	null	null	null			NA	NA
238	African Breadfruit	treculia	africana	moraceae			tree	30	null	food; shade	emergent	placenta	1250	3000	-1	16	null		(1250)-(3000)	(-1)-(16)
240	Natal Mahogany	trichilia	emetica	meliaceae			tree	15	70	food	emergent	placenta	600	2300	-1	16	null		(600)-(2300)	(-1)-(16)
385	Red Clover	trifolium	pratense	fabaceae			herb	0.6	null	food; fodder; nitrogen; medicinal	emergent	placenta	null	null	-29	-1	null		NA	(-29)-(-1)
386	White Clover	trifolium	repens	fabaceae			herb	0.1	null	food; fodder; nitrogen; medicinal	emergent	placenta	null	null	-35	-7	null		NA	(-35)-(-7)
21	Wheat	triticum	aestivum	poaceae			grass	1	1	food	emergent	placenta	400	4000	-18	16	null		(400)-(4000)	(-18)-(16)
180	Sugar plum	uapace	kirkiana	phyllanthaceae			tree	11	75	food	medium	secondary	550	1900	-1	16	null		(550)-(1900)	(-1)-(16)
396	High-Bush Blueberry	vaccinium	corymbosum	ericaceae			shrub	2	null	food	low	secondary	null	null	null	null	null		NA	NA
202	Bog Bilberry	vaccinium	uliginosum	ericaceae			shrub	0.8	null	food	emergent	placenta	null	null	null	null	null		NA	NA
397	Rabbit-Eye Blueberry	vaccinium	virgatum	ericaceae			shrub	1	null	food	emergent	placenta	null	null	null	null	null		NA	NA
156	Gum Arabic Tree	vachellia	nilotica	fabaceae			tree	10	70	food; fodder; nitrogen	high	secondary	400	2300	-1	16			(400)-(2300)	(-1)-(16)
355	Shittah Tree	vachellia	seyal	fabaceae			tree	null	null	nitrogen	emergent	placenta	null	null	null	null	null		NA	NA
308	Umbrella thorn acacia	vachellia	tortilis	fabaceae			tree	15	45	fodder; nitrogen	emergent	placenta	100	1000	-6	16	null		(100)-(1000)	(-6)-(16)
110	Vanilla	vanilla	planifolia	orchidaceae			vine	12	11	spice	medium	secondary	1500	3000	-1	16	null		(1500)-(3000)	(-1)-(16)
286	Highbush cranberry	viburnum	trilobum	adoxaceae			shrub	3	null	food	emergent	placenta	null	null	-46	-23	null		NA	(-46)-(-23)
206	Broad bean	vicia	faba	fabaceae			herb	null	1	food; nitrogen	emergent	placenta	null	null	null	null	null		NA	NA
143	Cowpea	vigna	unguiculata	fabaceae			herb	0.8	1	food	emergent	placenta	295	750	-1	16	null		(295)-(750)	(-1)-(16)
46	Shea tree	vitellaria	paradoxa	sapotaceae			tree	15	150		medium	climax	400	1600	4	16			(400)-(1600)	(4)-(16)
439	Meru Oak - Fulu	vitex	keniensis	lamiaceae			tree	25	null	food	emergent	placenta	null	null	null	null	null		NA	NA
356	Grape	vitis	vinifera	vitaceae			vine	15	60	food	emergent	placenta	600	900	-23	4	null		(600)-(900)	(-23)-(4)
436	East African Satinwood	zanthoxylum	gilletii	rutaceae			tree	null	null		emergent	placenta	null	null	null	null	null		NA	NA
130	Corn	zea	mays	poaceae			grass	2	1	food	emergent	placenta	500	800	-7	16	null		(500)-(800)	(-7)-(16)
109	Ginger	zingiber	officinale	zingiberaceae			herb	1	3		low	secondary	900	4000	-12	16			(900)-(4000)	(-12)-(16)
189	Indian Jujube	ziziphus	mauritiana	rhamnaceae			tree	15	80	food	medium	secondary	125	2000	-29	4	null		(125)-(2000)	(-29)-(4)
194	Buffalo Thorn	ziziphus	mucronata	rhamnaceae			tree	20	null	food	emergent	placenta	300	1000	null	null	null		(300)-(1000)	NA
