ID	Name	Lateinischer.Name	Kategorie	Verwendung	Ökologie	Mykorrhiza	Bemerkung	Empfohlene.Sorte	Befruchtung.(bspw..mehrere.Sorten)	Pflanzabstand.und.Position.in.der.Hecke	Bemerkungen	Height	Width	Comments	Blütezeit	Erntezeit	Boden	soil.wetness_dry	soil.wetness_well-drained	soil.wetness_fresh	soil.wetness_moist	soil.wetness_wet	waterlogging	soil.structure_light	soil.structure_medium	soil.structure_heavy	soil.structure_compacted	soil.texture_sandy	soil.texture_loamy	soil.texture_clayey	soil.depth_deep	soil.depth_superficial	soil.richness_nutrient-poor	soil.richness_medium.nutrient.content	soil.richness_nutrient-rich	humus	stony	calcareous	soil.acidity_alkaline	soil.acidity_slightly.alkaline	soil.acidity_slightly.acidic	soil.acidity_acidic	pH	Standortanspruch	climate.change	orientation	orientation.when.young	cold.winter	spring.frost	waterlogging	drought	heavy.soil	hot.summer	shallow.soil
85	Stieleiche	Quercus robur	Alley-Cropping		Biodiversität / Bodenschutz; Lebensraum Kleinsäuger; Lebensraum Insekten		Innere Frostrisse bei starken Temperaturstürzen ausgangs Winters. Holz mittelhart bis hart, gute mechanische Qualität, Brennholz, Holz hat gute Eigenschaften unter Wasser, daher Einsatz im Schiffs-, Brücken- und Wein/ Whiskyfassbau. Gerbstoffe für Ledergerbung. Eicheln für Rinder oder Pferde ungeniessbar/ giftig.							Mittlerer Wuchs. Astbildung-zur Stammbasis. Tiefwurzelnd (Pfahlwurzel). Blattaustrieb und -abwurf spät, Blätter mittelgross, lichtdurchlässige-eher dichte Krone.			Toleriert stark lehmige, feuchte, zeitweilig staunasse Böden.  Wächst auch auf vernässten, eher schweren Standorten. Mittlerer Nährstoffgehalt.  pH: 4.5 – 7.5				+	+	+			+			+					+									(4.5)–(7.5)	Verträgt Trockenheit, jedoch höherer Feuchtebedarf als Traubeneiche, hohe Spätfrostgefährdung (innere Frostrisse).					-1000		1			
86	Kreuzdorn	Rhamnus catharticus	Vitiforst in der Parzelle	Biomasse / Energie; Saft / Likör / öl; Biodiversität / Bodenschutz	Biodiversität / Bodenschutz; Lebensraum Insekten; Lebensraum Vögel	AM	Fördert Nützlinge, hitzeverträglich, trockenresistent					(3)-(5)		Höhe	(5)-(6)	(9)-NA	Durchlässig, nährstoffreich		+																+									Sonnig bis schattig		sunny; semi-shaded; shaded								
87	Johannisbeere	Ribes rubrum	Beerensträucher	Früchte / Konfiture / Konserve; Früchte / Konfiture / Konserve; Saft / Likör / öl					Selbstbefruchtung		Vollertrag nach 4.5-6.5 Jahren.				(4)-(5)	(6)-(8)	Leicht sauer, keine Staunässe, nicht zu trocken	-					-																		+			S, hs										
88	Stachelbeere	Ribes uva-crispa	Beerensträucher	Früchte / Konfiture / Konserve; Saft / Likör / öl					Selbstbefruchtung		Mit kleinen Stacheln versehen. Mehltauresistent. Regelmäßiger Verjüngungsschnitt erhält die Fruchtbarkeit.				(4)-(5)	(7)-NA	Humusreich, mittlerer Wasserbedarf																			+								S, hs										
89	Essig-Rose	Rosa gallica	Vitiforst Zeilenende	Biodiversität / Bodenschutz; Medizinalpflanze / Duftstoffe / Imkerei	Biodiversität / Bodenschutz	AM								1 m hoch	(6)-(7)		Lehm- oder Tonboden, nährstoffreich, kalkarm												+						+			-						Sonnig bis halbschattig		sunny; semi-shaded								
90	Bibernell-Rose	Rosa pimpinellifolia	Vitiforst Zeilenende	Biodiversität / Bodenschutz	Lebensraum Insekten	AM	Fördert Nützlinge, hitzeverträglich, klimaresistent							Breitrund, 0.3-1.8 m hoch	(5)-(6)	(9)-NA	Tiefgründiger, nährstoffreicher Boden ohne Staunässe, 						-								+				+									Sonnig		sunny								
91	Wein-Rose	Rosa rubignosa	Vitiforst Zeilenende	Biodiversität / Bodenschutz	Biodiversität / Bodenschutz; Lebensraum Insekten; Lebensraum Vögel	AM	Fördert Nützlinge, hitzeverträglich, klimaresistent					(2)-(3)		Dichter Strauch, hoch	(6)-NA	(9)-NA	Tiefgründiger Boden ohne Staunässe						-								+													Sonnig		sunny								
92	Hagebutte/Hundsrose	Rosa sp., canina	Wildobst-Kleinbäume und -sträucher	Früchte / Konfiture / Konserve; Saft / Likör / öl	Lebensraum Insekten; Lebensraum Vögel			Pillnitzer Vitaminrose PiRo 3,  Alternativen: Rosa dumalis x Rosa pendulina, Rosa rugosa, grosse Sortenvielfalt	einhäusig; Fremdbestäubung	1 m, O	z.T. Wurzelausläufer. Lichtbedürftig, sehr frosthart. Mit sichelförmigen Stacheln.				(5)-(6)	(9)-(10)	Mittlere Bodenansprüche (meiden sehr trockene und sehr feuchte Standorte, mittlerer Nährstoffgehalte). pH: 4.5 -7.5	-				-												+									(4.5)–(7.5)	s, hs		sunny; semi-shaded								
93	Hagebutte/Hundsrose	Rosa sp., canina	Vitiforst Zeilenende	Früchte / Konfiture / Konserve; Saft / Likör / öl	Lebensraum Insekten; Lebensraum Vögel	AM	z.T. Wurzelausläufer. Lichtbedürftig, sehr frosthart. Mit sichelförmigen Stacheln.							Schnell wachsender Strauch, 3 m hoch. Tiefwurzler	(5)-(6)	(9)-(10)	Mittlere Bodenansprüche (meiden sehr trockene und sehr feuchte Standorte, mittlerer Nährstoffgehalte)	-				-												+										Sonnig bis halbschattig		sunny; semi-shaded								
94	Filzige Rose	Rosa tomentosa	Vitiforst Zeilenende	Biodiversität / Bodenschutz	Lebensraum Insekten; Lebensraum Vögel; Lebensraum Kleinsäuger	AM	Fördert Nützlinge					(1)-(2)		hoch	(6)-(7)	(10)-NA	Mittel- bis tiefgründige, kalkhaltige Lehm oder Lössböden												+			-						+						Sonnig bis halbschattig		sunny; semi-shaded								
95	Apfelrose	Rosa villosa	Vitiforst Zeilenende	Früchte / Konfiture / Konserve; Saft / Likör / öl	Lebensraum Insekten; Lebensraum Vögel	AM						(1)-(2)		hoch, Tiefwurzler	(6)-(7)	(9)-(11)	Steinig, arm an Feinerde, kalkhaltig												-	-							+	+						Sonnig bis halbschattig		sunny; semi-shaded								
96	Himbeere	Rubus idaeus	Beerensträucher	Früchte / Konfiture / Konserve; Saft / Likör / öl					Fremdbefruchtung		Mind. 4 Jahre keine Himbeeren vor Pflanzung an dem Standort. Es gibt Sommer- und Herbsthimbeeren, wobei Sommerhimbeeren am zweijährigen und Herbsthimbeeren am einjährigen Holz tragen. 				(5)-(8)	(6)-(9)	Frisch, humus- und nährstoffreich, durchlässig, leicht sauer		+	+															+	+					+			S, hs										
97	Brombeere	Rubus sect rubus	Beerensträucher	Früchte / Konfiture / Konserve; Medizinalpflanze / Duftstoffe / Imkerei					Selbstbefruchtung		Sehr robuste Pflanze. Pflanzung einer zweiten Sorte erhöht Ertrag.				(5)-(8)	(7)-(9)	Mittelschwer, tiefgründig, durchlässig		+						+						+													S, hs										
98	Silberweide	Salix alba	Biomassenutzung	Biomasse / Energie; Holz / Möbel / Instrumente	Lebensraum Vögel		Je nach Nutzung: Laubheu und Biomasse im Mai-Juni, Holz und Bindematerial während Vegetationsruhe					(15)-(25)		 	(4)-(5)		Keine besonderen Ansprüche; feucht bis normal, nährstoffreich bis nährstoffarm				+												+	+	+									sonnig bis halbschattig										
99	Silberweide	Salix alba	Stock-/Biomassehecke	Biomasse / Energie; Medizinalpflanze / Duftstoffe / Imkerei; Biodiversität / Bodenschutz	Lebensraum Insekten; Lebensraum Vögel; Lebensraum Kleinsäuger; Mykorrhiza		Nicht alle Weidengehölze sind für jegliche Verwendungen geeignet: Die Weidenart ist nach gewünschtem Ernteprodukt auszusuchen. Der Schnittzeitpunkt ist dem jeweiligen Ernteprodukt anzupassen.							Schnellwüchsig, gute Schnittverträglichkeit. Breite Krone. Feinverzweigtes, dichtes und flaches Wurzelwerk. Starker Stockausschlag. Alle Salix sind Pioniergehölze und hadern mit Licht- und Wurzelkonkurrenz	(4)-(5)																													S,  hs. 		sunny; semi-shaded								
100	Reifweide	Salix daphnoides	Biomassenutzung	Biomasse / Energie; Medizinalpflanze / Duftstoffe / Imkerei	Biodiversität / Bodenschutz		Je nach Nutzung: Laubheu nach Blattaustrieb, Imkerweide nach der Blüte, Arzneiweide Vegetationsruhe					(10)-(15)		; Dekorativ e violette Jungtriebe, teils bereift	(2)-(3)		keine besonderen Ansprüche, feucht bis normal, nährstoffreich bis nährstoffarm 				+												+	+	+									Sonnig		sunny								
101	Reifweide	Salix daphnoides	Stock-/Biomassehecke	Biomasse / Energie; Medizinalpflanze / Duftstoffe / Imkerei; Biodiversität / Bodenschutz	Lebensraum Insekten; Lebensraum Vögel; Lebensraum Kleinsäuger; Mykorrhiza		Nicht alle Weidengehölze sind für jegliche Verwendungen geeignet: Die Weidenart ist nach gewünschtem Ernteprodukt auszusuchen. Der Schnittzeitpunkt ist dem jeweiligen Ernteprodukt anzupassen.							Schnellwüchsig, gute Schnittverträglichkeit. Breite Krone. Feinverzweigtes, dichtes und flaches Wurzelwerk. Starker Stockausschlag. Alle Salix sind Pioniergehölze und hadern mit Licht- und Wurzelkonkurrenz	(2)-(3)																													S,  hs. 		sunny; semi-shaded								
102	Bruchweide	Salix euxina	Biomassenutzung	Biomasse / Energie; Holz / Möbel / Instrumente	Lebensraum Vögel		Je nach Nutzung: Imkerweide nach der Blüte, Biomasse und Laubfutter Mai - Juni					(5)-(15)			(4)-(5)		Keine besonderen Ansprüche; feucht bis normal, nährstoffarm bis nährstoffreich				+												+	+	+									sonnig bis halbschattig										
103	Bruchweide	Salix euxina	Stock-/Biomassehecke	Biomasse / Energie; Medizinalpflanze / Duftstoffe / Imkerei; Biodiversität / Bodenschutz	Lebensraum Insekten; Lebensraum Vögel; Lebensraum Kleinsäuger; Mykorrhiza		Nicht alle Weidengehölze sind für jegliche Verwendungen geeignet: Die Weidenart ist nach gewünschtem Ernteprodukt auszusuchen. Der Schnittzeitpunkt ist dem jeweiligen Ernteprodukt anzupassen.							Schnellwüchsig, gute Schnittverträglichkeit. Breite Krone. Feinverzweigtes, dichtes und flaches Wurzelwerk. Starker Stockausschlag. Alle Salix sind Pioniergehölze und hadern mit Licht- und Wurzelkonkurrenz	(4)-(5)																													S,  hs. 		sunny; semi-shaded								
104	Purpurweide	Salix purpurea	Vitiforst in der Parzelle	Biodiversität / Bodenschutz		AM, EM	  trockenresistent					(2)-(6)		Breitbuschig, Höhe	(4)-(6)		Durchlässig, nährstoffreich, mässig trocken bis feucht	+	+	+	+														+									Sonnig bis halbschattig		sunny; semi-shaded								
105	Purpurweide	Salix purpurea	Stock-/Biomassehecke	Biomasse / Energie; Medizinalpflanze / Duftstoffe / Imkerei; Biodiversität / Bodenschutz	Lebensraum Insekten; Lebensraum Vögel; Lebensraum Kleinsäuger; Mykorrhiza		Nicht alle Weidengehölze sind für jegliche Verwendungen geeignet: Die Weidenart ist nach gewünschtem Ernteprodukt auszusuchen. Der Schnittzeitpunkt ist dem jeweiligen Ernteprodukt anzupassen.							Schnellwüchsig, gute Schnittverträglichkeit. Breite Krone. Feinverzweigtes, dichtes und flaches Wurzelwerk. Starker Stockausschlag. Alle Salix sind Pioniergehölze und hadern mit Licht- und Wurzelkonkurrenz	(3)-(4)																													S,  hs. 		sunny; semi-shaded								
106	Mandelweide	Salix triandra	Biomassenutzung	Biomasse / Energie	Lebensraum Insekten		Exzellente und schmackhafte Futterweide mit minimal Salicylatgehalt: männliche Klone sind für Laubheu zu bevorzugen, weibliche Klone bilden beim Trocknen lästige Flugsamen. Je nach Nutzung: Imkerweide nach der Blüte, Biomasse und Laubfutter Mai - Juni					(5)-(10)			(4)-(5)		Keine besonderen Ansprüche; feucht bis normal, nährstoffarm bis nährstoffreich				+												+	+	+									sonnig bis halbschattig										
107	Mandelweide	Salix triandra	Stock-/Biomassehecke	Biomasse / Energie; Medizinalpflanze / Duftstoffe / Imkerei; Biodiversität / Bodenschutz	Lebensraum Insekten; Lebensraum Vögel; Lebensraum Kleinsäuger; Mykorrhiza		Nicht alle Weidengehölze sind für jegliche Verwendungen geeignet: Die Weidenart ist nach gewünschtem Ernteprodukt auszusuchen. Der Schnittzeitpunkt ist dem jeweiligen Ernteprodukt anzupassen.							Schnellwüchsig, gute Schnittverträglichkeit. Breite Krone. Feinverzweigtes, dichtes und flaches Wurzelwerk. Starker Stockausschlag. Alle Salix sind Pioniergehölze und hadern mit Licht- und Wurzelkonkurrenz	(4)-(5)																													S,  hs. 		sunny; semi-shaded								
108	Hanfweide	Salix viminalis	Biomassenutzung	Biomasse / Energie	Biodiversität / Bodenschutz		Je nach Nutzung: Imkerweide nach der Blüte, Biomasse und Laubfutter Mai – Juni. Anfällig auf Schadorganismen: Weidenbohrer, Erlenwürger, Rostpilze					(3)-(5)			(3)-(4)		Keine besonderen Ansprüche. feucht bis normal, nährstoffarm bis nährstoffreich				+												+	+	+									sonnig bis halbschattig										
109	Hanfweide	Salix viminalis	Stock-/Biomassehecke	Biomasse / Energie; Medizinalpflanze / Duftstoffe / Imkerei; Biodiversität / Bodenschutz	Lebensraum Insekten; Lebensraum Vögel; Lebensraum Kleinsäuger; Mykorrhiza		Nicht alle Weidengehölze sind für jegliche Verwendungen geeignet: Die Weidenart ist nach gewünschtem Ernteprodukt auszusuchen. Der Schnittzeitpunkt ist dem jeweiligen Ernteprodukt anzupassen.							Schnellwüchsig, gute Schnittverträglichkeit. Breite Krone. Feinverzweigtes, dichtes und flaches Wurzelwerk. Starker Stockausschlag. Alle Salix sind Pioniergehölze und hadern mit Licht- und Wurzelkonkurrenz	(3)-(4)																													S,  hs. 		sunny; semi-shaded								
110	Bandstockweide	Salix x dasyclados	Biomassenutzung	Biomasse / Energie	Biodiversität / Bodenschutz		Wurde traditionell für Holzpfähle (= Bandstöcke, mehrjährige Kultur) verwendet					(4)-(6)		 	(3)-(4)		Keine besonderen Ansprüche, feucht bis normal, nährstoffarm bis nährstoffreich				+												+	+	+									sonnig bis halbschattig										
111	Bandstockweide	Salix x dasyclados	Stock-/Biomassehecke	Biomasse / Energie; Medizinalpflanze / Duftstoffe / Imkerei; Biodiversität / Bodenschutz	Lebensraum Insekten; Lebensraum Vögel; Lebensraum Kleinsäuger; Mykorrhiza		Nicht alle Weidengehölze sind für jegliche Verwendungen geeignet: Die Weidenart ist nach gewünschtem Ernteprodukt auszusuchen. Der Schnittzeitpunkt ist dem jeweiligen Ernteprodukt anzupassen.							Schnellwüchsig, gute Schnittverträglichkeit. Breite Krone. Feinverzweigtes, dichtes und flaches Wurzelwerk. Starker Stockausschlag. Alle Salix sind Pioniergehölze und hadern mit Licht- und Wurzelkonkurrenz	(3)-(4)																													S,  hs. 		sunny; semi-shaded								
112	Fahlweide	Salix x fragilis	Biomassenutzung	Biomasse / Energie	Lebensraum Vögel		Kreuzungen zwischen Silber- und Bruchweide (Salix alba x euxina); Qualität des Flechtmaterials ist abhängig von der Kopfhöhe, der Dichte der Verbandspflanzung der Köpfe und der Kultursorte					(15)-(20)		 	(4)-(5)		Keine besonderen Ansprüche; feucht bis normal, nährstoffarm bis nährstoffreich				+												+	+	+									sonnig bis halbschattig										
113	Fahlweide	Salix x fragilis	Stock-/Biomassehecke	Biomasse / Energie; Medizinalpflanze / Duftstoffe / Imkerei; Biodiversität / Bodenschutz	Lebensraum Insekten; Lebensraum Vögel; Lebensraum Kleinsäuger; Mykorrhiza		Nicht alle Weidengehölze sind für jegliche Verwendungen geeignet: Die Weidenart ist nach gewünschtem Ernteprodukt auszusuchen. Der Schnittzeitpunkt ist dem jeweiligen Ernteprodukt anzupassen.							Schnellwüchsig, gute Schnittverträglichkeit. Breite Krone. Feinverzweigtes, dichtes und flaches Wurzelwerk. Starker Stockausschlag. Alle Salix sind Pioniergehölze und hadern mit Licht- und Wurzelkonkurrenz	(4)-(5)																													S,  hs. 		sunny; semi-shaded								
114	Schwarzer Holunder	Sambucus nigra resp. Sambucus canadensis ‚Maxima‘	Wildobst-Kleinbäume und -sträucher	Früchte / Konfiture / Konserve; Saft / Likör / öl; Medizinalpflanze / Duftstoffe / Imkerei; Biomasse / Energie	Lebensraum Insekten; Lebensraum Vögel			Haschberg, Sambucus canadensis ‚Maxima‘ 	Einhäusig; Fremdbestäubung	3 m, W	Aus rotlaubigen (rosablühenden) Sorten lässt sich ein rosa Holunderblütensaft herstellen.				(5)-(6)	(8)-(9)	Frisch bis feucht, nährstoffreich. pH: 5.5 – 8.5			+	+														+								(5.5)–(8.5)	s, hs		sunny; semi-shaded								
115	Schwarzer Holunder	Sambucus nigra resp. Sambucus canadensis ‚Maxima‘	Beerensträucher	Früchte / Konfiture / Konserve; Saft / Likör / öl; Medizinalpflanze / Duftstoffe / Imkerei; Biomasse / Energie					Einhäusig, Fremdbefruchtung		Vogelnahrung, Versteck und Nistplatz, Bienenweide, ökologisch sehr wertvoll.				(5)-(6)	(8)-(9)	Frisch bis feucht, nährstoffreich pH: 5.5 – 8.5			+	+														+								(5.5)–(8.5)	S, hs										
116	Echte Mehlbeere	Sorbus aria	Wildobst-Bäume	Holz / Möbel / Instrumente; Früchte / Konfiture / Konserve; Biomasse / Energie	Lebensraum Insekten; Lebensraum Vögel						Zur Erhöhung der Schmackhaftigkeit Beeren einige Tage einfrieren. Holz sehr hart, u.a. für Drechslerarbeiten verwendet. Häufige Bastardisierung mit Eberesche und Elsbeere.				(5)-(6)	(8)-(10)	Geeignet für flachgründige, mässig trockene, auch felsige Böden. Bevorzugt kalkhaltige Böden. pH: 4.5 – 7.5	+														+					+	+					(4.5)–(7.5) 	S, hs. Trockenheitstolerant erträgt Kälte obwohl wärmebedürftig		sunny; semi-shaded		1			1			
117	Echte Mehlbeere	Sorbus aria	Vitiforst Umrandung	Holz / Möbel / Instrumente; Früchte / Konfiture / Konserve; Biodiversität / Bodenschutz	Lebensraum Insekten	AM, EM	Früchte sind Wintersteher					(6)-(12)	(3)-(5)	Höhe, Breite	(5)-NA	(9)-(10)	Durchlässig, kalkhaltig		+																			+						Sonnig bis halbschattig		sunny; semi-shaded								
118	Eberesche	Sorbus aucuparia	Wildobst-Bäume	Früchte / Konfiture / Konserve; Saft / Likör / öl	Lebensraum Insekten; Lebensraum Vögel						Risiko für Feuerbrand. Achtung: Wurzelbrut, Stockausschläge				(5)-(6)	(8)-(10)	Tiefgründig, bevorzugt feuchte Böden. Eher selten auf reinen Kalkstandorten. pH: 4.5 – 7.5				+										+							-					(4.5)–(7.5)	Pionierpflanze, sehr tolerant und anspruchslos, frosthart. 		sunny		1	1					
119	Speierling	Sorbus domestica	Wildobst-Bäume	Früchte / Konfiture / Konserve; Medizinalpflanze / Duftstoffe / Imkerei; Holz / Möbel / Instrumente	Lebensraum Insekten; Lebensraum Vögel						Sehr anfällig für Mäusefrass, langsamer Wuchs. Geringhöhig asten da nicht sehr hoch; einfach zu asten (dünne Äste). Krebsanfällig. Holz sehr hart, Edellaubholz, ausgezeichnete mechanische Qualität. Pflanzabstand: 12m				(5)-(7)	(9)-(10)	Flachgründig, humoslehmig bis sandig, nicht lehmig. Verträgt auch sehr kalkreiche Böden. Mässig frisch bis frische Böden, keine Staunässe, verträgt auch trockene Böden. pH: 6.5 - 8	+	+	+			-					+				+				+		+					(6.5)–(8)	Wärmeliebend, mässig kältetolerant. Verträgt Trockenheit				1			1		2	
120	Speierling	Sorbus domestica	Vitiforst Umrandung	Holz / Möbel / Instrumente; Früchte / Konfiture / Konserve; Biodiversität / Bodenschutz	Lebensraum Insekten	AM, EM	Sehr hartes Holz, Früchte früher in der Volksmedizin für Magen Darm Beschwerden eingesetzt					(8)-(12)	(2)-(4)	Höhe, Breite	(5)-(7)	(9)-(10)	Durchlässig, kalkhaltig, nährstoffreich		+																+			+						Sonnig bis halbschattig		sunny; semi-shaded								
121	Elsbeere	Sorbus torminalis	Wildobst-Bäume	Früchte / Konfiture / Konserve; Holz / Möbel / Instrumente; Medizinalpflanze / Duftstoffe / Imkerei; Biomasse / Energie	Lebensraum Insekten; Lebensraum Vögel						Holz sehr wertvoll/gesucht. Eines der teuersten europäischen Hölzer, langsamer Wuchs. Pflanzabstand: 12m				(5)-NA	(9)-(10)	Starklehmig bis sandig. Eher silikathaltige, weniger kalkhaltige Böden. Mässig trocken bis frisch, keine Staunässe. pH: 5.5 - 8	+	+	+			-					+	+									-					(5.5)–(8)	Wärmeliebend, spätfrosttolerant, keine hohe Wasseransprüche, erträgt Sommertrockenheit					1		1			
122	Elsbeere	Sorbus torminalis	Vitiforst Umrandung	Holz / Möbel / Instrumente; Früchte / Konfiture / Konserve; Biodiversität / Bodenschutz	Lebensraum Insekten	EM, AM	Früchte nutzbar, sehr hartes Holz					(6)-(15)	(2)-(4)	Höhe, Breite	(5)-NA	(10)-NA	Durchlässig, kalkhaltig, nährstoffreich		+																+			+						Sonnig bis halbschattig		sunny; semi-shaded								
123	Pimpernuss	Staphylea pinnata	Wildobst-Kleinbäume und -sträucher	Früchte / Konfiture / Konserve; Saft / Likör / öl	Lebensraum Insekten				Selbstbefruchtung		Geringer Wasserbedarf , warmer Standort. Wenn die Nüsschen reif sind ist ein klappern in der Kapsel zu hören.				(5)-(6)	(9)-(10)	Durchlässig, mässig trocken, mittlerer Nährstoffgehalt. pH: 5.5 – 8.5	+	+															+									(5.5)–(8.5)	s, hs		sunny; semi-shaded								
124	Winterlinde	Tilia cordata	Trüffelanbau		Lebensraum Insekten; Biodiversität / Bodenschutz	EM (+AM)	Holz: wichtiges Werkmaterial für Schnitz- und Kunsthandwerk. Insb. Bodenverbessernd: schnelle Verrottung der mineralstoffhaltigen Blätter. weitere Nutzung: Blütentee, Trachtpflanze							Langsames Wachstum in der Jugendphase, später schnellwachsend. Starker Stockausschlag. Das ursprüngliche Pfahlwurzelsystem entwickelt sich im Alter in ein Herzwurzelsystem. Später Blattaustrieb und – abwurf. Krone stark beschattend („Schattenbaumart“)			Tiefgründige, lockere und mineralstoffreiche Böden mit ausgeglichenem Wasserhaushalt, eher frische Böden. Winterlinde: gedeiht noch auf tonigen und verdichteten Böden. Sommerlinde: bevorzugt kalkreiche Böden. Generell: keine Staunässe. pH: 6 - 8			+			-	+							+				+								(6)–(8)	Erträgt geringe Durchschnittstemperaturen, geringe bis mässige Früh- und Spätfrostgefährdung				1	1					
125	Winterlinde	Tilia cordata	Alley-Cropping	Holz / Möbel / Instrumente; Medizinalpflanze / Duftstoffe / Imkerei; Biomasse / Energie	Lebensraum Insekten; Biodiversität / Bodenschutz		Holz: wichtiges Werkmaterial für Schnitz- und Kunsthandwerk, Insb. Bodenverbessernd: schnelle Verrottung der mineralstoffhaltigen Blätter. weitere Nutzung: Blütentee, Trachtpflanze							bis 30 m, Langsames Wachstum in der Jugendphase, später schnellwachsend. Starker Stockausschlag. Das ursprüngliche Pfahlwurzelsystem entwickelt sich im Alter in ein Herzwurzelsystem. Später Blattaustrieb und – abwurf. Krone stark beschattend („Schattenbaumart“)			Tiefgründige, lockere und mineralstoffreiche Böden mit ausgeglichenem Wasserhaushalt, eher frische Böden. Generell: keine Staunässe. pH: 6 - 8			+			-	+							+				+								(6)–(8)	Erträgt geringe Durchschnittstemperaturen, geringe bis mässige Früh- und Spätfrostgefährdung				1	1					
126	Sommerlinde	Tilia platyphyllos	Alley-Cropping	Holz / Möbel / Instrumente; Medizinalpflanze / Duftstoffe / Imkerei; Biomasse / Energie	Lebensraum Insekten; Biodiversität / Bodenschutz		Blütentee, Trachtpflanze, Holz: wichtiges Werkmaterial für Schnitz- und Kunsthandwerk					(25)-(30)		, relativ schnellwüchsig. Dichte Krone ( „Schattenbaumart“)			Tiefgründige, lockere und mineralstoffreiche Böden mit ausgeglichenem Wasserhaushalt .Bevorzugt kalkhaltige Böden und Feuchte. Keine Staunässe, Empfindlich gegen Verdichtung. pH: 5.5 – 8.5		+	+	+		-	+			-				+				+								(5.5)–(8.5)	Kälte- und Hitzetolerant, jedoch frost- und dürreempfindlicher als die Winterlinde.				1	-100		-100		1	
127	Winterlinde/Sommerlinde	Tilia sp.	Vitiforst Umrandung	Holz / Möbel / Instrumente; Biodiversität / Bodenschutz; Medizinalpflanze / Duftstoffe / Imkerei	Lebensraum Insekten; Biodiversität / Bodenschutz	AM, EM						(25)-(30)	(8)-(10)	Höhe, Breite	(5)-(6)		Durchlässig, kalkhaltig		+																			+						Sonnig bis schattig		sunny; semi-shaded; shaded								
128	Silberlinde 	Tilia tormentosa	Alley-Cropping	Holz / Möbel / Instrumente; Medizinalpflanze / Duftstoffe / Imkerei	Biodiversität / Bodenschutz		Klimawandelgehölz, bodenverbessernd, Laub gut abbaubar					(30)-(35)		, gute Wuchsleistung			Nährstoffreiche, tiefe Böden, schwierig auf Ton 													-	+				+									Toleriert Trockenheit, hohe Lichtansprüche bei älteren Bäumen, junge Bäume schattentolerant		sunny	sunny; semi-shaded; shaded				1			
129	Bergulme	Ulmus glabra	Biomassenutzung	Biomasse / Energie; Holz / Möbel / Instrumente	Lebensraum Insekten		Stark anfällig auf Ulmensterben (Pilzkrankheit). grösseres, schmackhafteres Laub, Laub sehr lange erntbar							Schnellwüchsig. Laub verrottet schnell, bodenverbessernd. Tiefreichendes Wurzelsystem mit Pfahlwurzel	(3)-NA		Feucht, nährstoffreich, tiefgründig. pH: 4.5 – 7.5				+										+				+								(4.5)–(7.5)	Hs, s. Mittlerer Wärmebedarf, meidet trockene Lagen		sunny ; semi-shaded					-100			
130	Flatterulme	Ulmus laevis	Biomassenutzung	Biomasse / Energie; Holz / Möbel / Instrumente	Lebensraum Insekten		Weniger anfällig auf Ulmensterben (Pilzkrankheit). grösseres, schmackhafteres Laub; Laub sehr lange erntbar							Bis 30 m hoch. Schnelles Wachstum insbesondere in der Jugendphase. Gutes Stockausschlagvermögen. Pfahlwurzel, Tiefwurzler, geht in Herzwurzelsystem über. Bildet Wurzeltriebe.	(4)-(5)		Eher nährstoffreich und feucht. Tiefgründige, basenreiche, bevorzugt gleyige Böden, pH: 5.5 – 8.5				+		++								+				+								(5.5)–(8.5)	Bevorzugt sonnige bis halbschattige Standorte, frische, sogar nasse und schwere Böden.		sunny ; semi-shaded						1		
131	Flatterulme	Ulmus laevis	Alley-Cropping	Biomasse / Energie; Holz / Möbel / Instrumente	Lebensraum Insekten		Weniger gefährdet durch Ulmensterben, dennoch nur vereinzelt und in sehr weiten Abständen pflanzen. Holz im Möbelbau und für Drechslerarbeiten							Bis 30 m hoch. Schnelles Wachstum insbesondere in der Jugendphase. Gutes Stockausschlagvermögen. Pfahlwurzel, Tiefwurzler, geht in Herzwurzelsystem über. Bildet Wurzeltriebe.			Eher nährstoffreich und feucht. Tiefgründige, basenreiche, bevorzugt gleyige Böden, pH: 5.5 – 8.5				+		++								+				+								(5.5)–(8.5)	Bevorzugt sonnige bis halbschattige Standorte, frische, sogar nasse und schwere Böden, kommt auch mit längerer Überstauung zurecht, benötigt auch im Sommer genügend Feuchtigkeit. Generell hohe Ansprüche, empfindlich gegen Dürre und Spätfrost										
132	Heidelbeere	Vaccinium myrtillus	Beerensträucher	Früchte / Konfiture / Konserve; ; Medizinalpflanze / Duftstoffe / Imkerei					Selbstbefruchtung		Benötigt saure Bodenverhältnisse, lange Erntezeit, sehr robust.				(4)-(5)	(7)-(9)	Humusreich, sauer pH<5, durchlässig 		+																	+						+	(4)-(5)	S, hs										
133	Szechuan-Pfeffer	Zanthoxylum simulans	Wildobst-Kleinbäume und -sträucher	Medizinalpflanze / Duftstoffe / Imkerei				Simulans, Americanum	Zweihäusig, selbstfruchtbar	1 m, O	Kein echter Pfeffer aber geschmacklich ähnlich, Samen nicht verwenden. Sehr robust, eher geringer Wasserbedarf. Bedornt				(6)-(7)	(8)-(9)	Eher durchlässig Böden, mässsig feucht. Nährstoffarme Böden möglich. Generell geringe Bodenansprüche. pH: weites Spektrum sauer bis alkalisch		+	+	+												+						+	+	+	+		s, hs		sunny; semi-shaded								
